C_1_Force[kN];C_1_Deplacement[mm]
25.14123917;4.179432392
25.18330002;4.183582306
25.22485542;4.187699795
25.27401543;4.19194746
25.31565094;4.196162224
25.36345482;4.200426102
25.41168213;4.204576015
25.46397972;4.209002972
25.50242424;4.213152885
25.54852676;4.217319012
25.59446907;4.221452713
25.63291359;4.225570202
25.67630386;4.229736328
25.71323395;4.233821392
25.75074768;4.237727165
25.78305244;4.241763115
25.83510971;4.246092319
25.86741257;4.249965668
25.9180603;4.254294395
25.96115875;4.258477211
26.00909424;4.262757301
26.05822754;4.266923428
26.10167122;4.271171093
26.15540314;4.275500298
26.19286537;4.279536247
26.23699951;4.283653736
26.286026;4.288015366
26.32930946;4.292262554
26.3635273;4.296152592
26.40207863;4.300286293
26.43959236;4.304273129
26.48181343;4.308472157
26.52993584;4.312654495
26.56697273;4.316723347
26.61903;4.320971012
26.66313744;4.325153351
26.70440102;4.329287052
26.75512886;4.333534718
26.80649567;4.337782383
26.85738182;4.3421278
26.89537621;4.346179962
26.93730354;4.350281239
26.98967934;4.354609966
27.02421761;4.358597279
27.05540276;4.362486839
27.10506821;4.366799831
27.14784622;4.37098217
27.17725182;4.374936581
27.22500229;4.379135609
27.2676487;4.383253098
27.31704712;4.387630939
27.35605049;4.391797066
27.40675163;4.396060944
27.45391655;4.400324821
27.5025177;4.404588699
27.5494976;4.40886879
27.59115982;4.412872314
27.63385963;4.417087555
27.67948151;4.421286106
27.71853828;4.425289631
27.75007057;4.429081917
27.79638481;4.433362007
27.82884789;4.437235355
27.87396622;4.441401482
27.92974663;4.445795536
27.97563553;4.450108528
28.01668549;4.454307079
28.0593853;4.458440781
28.10434341;4.462720871
28.15624237;4.467033863
28.20553398;4.471248627
28.2505722;4.475529194
28.29335213;4.479662895
28.34027863;4.483829021
28.38393402;4.488027573
28.41493416;4.491868496
28.46106339;4.496067047
28.50373459;4.500266075
28.54055786;4.504253387
28.57464218;4.508224487
28.62895966;4.512650967
28.66014671;4.516622066
28.7113266;4.520885944
28.7583065;4.52511692
28.80613708;4.529494762
28.85173416;4.533710003
28.89626694;4.537859917
28.94742012;4.542205334
28.99102402;4.546322823
29.03595543;4.550488949
29.07743073;4.554557323
29.12140656;4.558772564
29.15490532;4.562711239
29.19890785;4.566877365
29.22326088;4.570571423
29.27106476;4.574851513
29.32213974;4.57913208
29.36108971;4.583184242
29.41008949;4.587415695
29.45666885;4.591614246
29.50290489;4.595845699
29.55453682;4.600044727
29.60082436;4.60434103
29.6558342;4.608799934
29.69496918;4.612917423
29.73437119;4.61695385
29.78252029;4.62129879
29.81910515;4.625318527
29.85326958;4.62930584
29.89115524;4.633358002
29.93361473;4.637459278
29.96573257;4.641381741
30.01795006;4.645678043
30.0467968;4.649616241
30.10332108;4.653994083
30.15250778;4.658193111
30.19794464;4.662538052
30.24364662;4.666720867
30.29275322;4.67095232
30.34528923;4.675330162
30.37791252;4.67926836
30.42183495;4.683353424
30.47008896;4.687698364
30.51720238;4.692059994
30.54065132;4.695737839
30.59209824;4.700115681
30.6288147;4.704135895
30.67108727;4.708302021
30.71282959;4.712403297
30.75938416;4.716667175
30.80665588;4.720963478
30.84900856;4.725162029
30.89112282;4.729247093
30.94570541;4.73359251
30.99366951;4.737840176
31.04059601;4.742104053
31.07906723;4.746172428
31.12995529;4.750354767
31.17448807;4.754570007
31.20498276;4.758459568
31.24983597;4.762577057
31.29708099;4.766938686
31.33600426;4.771072388
31.36437225;4.774929523
31.42254639;4.779372215
31.45511436;4.783408165
31.50047302;4.78765583
31.53976822;4.791724682
31.59552193;4.79605341
31.63665199;4.800284863
31.68325806;4.804434776
31.73268318;4.808650017
